source,media_tags
spiegel,portal|spiegelonline|ebdeskmy|germany|international
komandodp.com,komandodp.com|general|national|website|indonesia|ebdeskind|sulawesiselatan|makassar|tamalate|jongaya
polres tanjung perak,polrestanjungperak|general|national|website|indonesia|ebdeskind
harian riau,harianriau|general|national|website|indonesia|dewanpers|ebdeskind
polres tuban,polrestuban|general|indonesia|national|website|jatim|tuban|polri|ebdeskind
sijori today,sijoritoday|general|national|website|indonesia|dewanpers|tni|ebdeskind
sidoarjo terupdate,sidoarjoterupdate|general|national|website|indonesia|polri|sidoarjo|jatim|ebdeskind
koran papua,koranpapua|national|website|indonesia|general|papua|ebdeskind|
riauone.com,riauone.com|general|national|website|indonesia|dewanpers|ebdeskind
mina news,minanews|general|national|website|indonesia|dewanpers|ebdeskind
umnoonline,portal|umnoonline|ebdeskmy|malaysia|politic|ebdeskind|international
derap fakta,derapfakta|national|website|indonesia|general|banten|ebdeskind
cara pandang,carapandang|general|national|website|indonesia|dewanpers|ebdeskind
bualbual.com,bualbual.com|general|national|website|indonesia|dewanpers|tni|ebdeskind
medaninside.com,medaninside.com|general|national|website|indonesia|ebdeskind
probatam.co,probatam.co|general|national|website|indonesia|dewanpers|tni|ebdeskind
klik ampera,klikampera|general|national|website|indonesia|dewanpers|tni|ebdeskind
sportanews.com,sportanews.com|general|national|website|indonesia|dewanpers|tni|ebdeskind
indo linear,indolinear|general|national|website|indonesia|dewanpers|ebdeskind
malaysia kini bm,ebdeskmy|portal|malaysiakini|malaysia
nhk,nhk|ninternational|website|japan|general|ebdeskind
popularitas,popularitas|general|national|website|indonesia|dewanpers|ebdeskind
ayo semarang,ayosemarang|national|website|indonesia|general|semarang|ebdeskind
patroli post,patrolipost|national|website|indonesia|general|denpasar|bali|ebdeskind
china daily asia,international|hongkong|chinadailyasia|general|ebdeskind
tajuk,tajuk|national|website|indonesia|general|dkijakarta|jakartaselatan|ebdeskind
asiatoday,asiatoday|education|international|taiwannews|ebdeskind
acehtrend.com,acehtrend.com|general|national|website|indonesia|dewanpers|ebdeskind
zona integritas,zonaintegritas|general|national|website|indonesia|polri|ebdeskind
warta rakyat,wartarakyat|general|national|website|indonesia|dewanpers|ebdeskind
jayandaru,jayandaru|general|national|website|indonesia|polri|ebdeskind
kreatifnews.co.id,kreatifnews.co.id|national|website|indonesia|general|lampung|ebdeskind
lampung visual,lampungvisual|general|national|website|indonesia|dewanpers|tni|ebdeskind
warnariau.com,warnariau.com|general|national|website|indonesia|dewanpers|tni|ebdeskind
media dayak,mediadayak|general|national|website|indonesia|dewanpers|ebdeskind
lensa reportase,lensareportase|national|website|indonesia|general|bogor|jawabarat|ebdeskind
kejarfakta.co,kejarfakta.co|national|website|indonesia|general|ebdeskind
dialeksis,dialeksis|general|national|website|indonesia|dewanpers|tni|ebdeskind
agtvnews.com,agtvnews.com|general|national|website|indonesia|dewanpers|tni|ebdeskind
liputan.co.id,liputan.co.id|general|national|website|indonesia|dewanpers|tni|ebdeskind
malaysianow.com,malaysianow.com|malaysia|portal|ebdeskmy
tasik progresif ,ebdeskind|indonesia|tasikmalaya|website|jabar|tasikprogresif|general|national
tribun pontianak,indonesia|tribunnewspontianak|ebdeskind|general|kalimantanbarat|pontianak|kuburaya|sungairaya|kementan
spiritriau,spiritriau|general|national|website|indonesia|dewanpers|ebdeskind
antara kupang,antarakupang|national|website|indonesia|general|ebdeskind
radio france internationale,ebdeskmye|radiofranceinternationale|france|website|radiofranceinternational|international|general|ebdeskind
tribun sumsel,tribunsumsel|general|national|website|indonesia|dewanpers|tni|ebdeskind
aceh bisnis,acehbisnis|general|national|website|indonesia|dewanpers|tni|ebdeskind
rrinews aceh,rrinewsaceh|national|website|indonesia|general|aceh|ebdeskind
bolmora,bolmora|general|national|website|indonesia|dewanpers|tni|ebdeskind
wajibbaca.com,wajibbaca.com|general|national|website|indonesia|ebdeskind
mata bangsa,matabangsa|general|national|website|indonesia|dewanpers|ebdeskind
orbit digital daily,orbitdigitaldaily|general|national|website|indonesia|dewanpers|ebdeskind
dara.co.id,dara.co.id|general|national|website|indonesia|dewanpers|tni|ebdeskind
cakrawala news,cakrawalanews|general|national|website|indonesia|dewanpers|ebdeskind
bernas,bernas|general|national|website|indonesia|dewanpers|ebdeskind
baruga news,baruganews|general|national|website|indonesia|ebdeskind
sulut review,sulutreview|general|national|website|indonesia|dewanpers|ebdeskind
focus taiwan,focustaiwan|international|website|taiwan|general|ebdeskind
jayantara news,jayantaranews|national|website|indonesia|general|ebdeskind
radar bisnis,radarbisnis|general|national|website|indonesia|dewanpers|tni|ebdeskind
